   2-th order dMPn correlation energy, -0.1079033500077010E+02
   3-th order dMPn correlation energy,  0.4030652473986704E+01
   4-th order dMPn correlation energy, -0.2676005207875554E+01
   5-th order dMPn correlation energy,  0.2287115863181438E+01
   6-th order dMPn correlation energy, -0.2239001970866360E+01
   7-th order dMPn correlation energy,  0.2390488269363860E+01
   8-th order dMPn correlation energy, -0.2716573201923739E+01
   9-th order dMPn correlation energy,  0.3240275271301658E+01
  10-th order dMPn correlation energy, -0.4019988371234863E+01
  11-th order dMPn correlation energy,  0.5154021329683705E+01
  12-th order dMPn correlation energy, -0.6795447663289792E+01
  13-th order dMPn correlation energy,  0.9178091503930242E+01
  14-th order dMPn correlation energy, -0.1265817430599467E+02
  15-th order dMPn correlation energy,  0.1777984110775439E+02
  16-th order dMPn correlation energy, -0.2537800644015988E+02
  17-th order dMPn correlation energy,  0.3674007586246241E+02
  18-th order dMPn correlation energy, -0.5386102229359911E+02
  19-th order dMPn correlation energy,  0.7984703231210234E+02
  20-th order dMPn correlation energy, -0.1195563312062774E+03
