   2-th order dMPn correlation energy, -0.1094133074803606E+02
   3-th order dMPn correlation energy,  0.4101713208957149E+01
   4-th order dMPn correlation energy, -0.2726440745997772E+01
   5-th order dMPn correlation energy,  0.2335255548758907E+01
   6-th order dMPn correlation energy, -0.2298565990467878E+01
   7-th order dMPn correlation energy,  0.2478832822954292E+01
   8-th order dMPn correlation energy, -0.2860365764644746E+01
   9-th order dMPn correlation energy,  0.3482851693760886E+01
  10-th order dMPn correlation energy, -0.4432794690752519E+01
  11-th order dMPn correlation energy,  0.5855177604836544E+01
  12-th order dMPn correlation energy, -0.7980202143019734E+01
  13-th order dMPn correlation energy,  0.1116897244612903E+02
  14-th order dMPn correlation energy, -0.1598774740130838E+02
  15-th order dMPn correlation energy,  0.2332748827545346E+02
  16-th order dMPn correlation energy, -0.3459633306817136E+02
  17-th order dMPn correlation energy,  0.5203025450853321E+02
  18-th order dMPn correlation energy, -0.7919602300516789E+02
  19-th order dMPn correlation energy,  0.1218080964672397E+03
  20-th order dMPn correlation energy, -0.1890594552691242E+03
